鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,lng,lat
北投區,房地(土地+建物)+車位,臺北市北投區承德路七段151~180號,29.97,住,,,1051201,土地2建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030417.0,245.18,3,2,2,有,有,47800000,194959.0,坡道平面,36.65,0,,RPWNMLQLJHMFFEA38CA,121.5082477,25.1132448
北投區,房地(土地+建物)+車位,臺北市北投區承德路七段151~180號,29.97,住,,,1051201,土地2建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030417.0,245.18,3,2,2,有,有,48500000,197814.0,坡道平面,36.65,0,,RPXNMLQLJHMFFEA48CA,121.5082477,25.1132448
萬華區,房地(土地+建物)+車位,臺北市萬華區臺北市萬華區萬大路423巷31~60號,6.52,住,,,1051215,土地4建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970103.0,31.55,3,2,2,有,有,3970000,125832.0,坡道平面,0.0,0,,RPUOMLNKJHMFFBA67DA,121.50110600000001,25.023741
萬華區,房地(土地+建物)+車位,臺北市萬華區臺北市萬華區萬大路423巷31~60號,34.0,住,,,1051215,土地4建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970103.0,157.75,3,2,2,有,有,19830000,125705.0,坡道平面,0.0,0,,RPVOMLNKJHMFFBA77DA,121.50110600000001,25.023741
中正區,房地(土地+建物),臺北市中正區莒光路91~120號,21.5,住,,,1051227,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,73.77,1,1,1,有,無,8350000,113190.0,,0.0,0,,RPOOMLKKKHMFFAA76DA,121.50491979999998,25.031173499999998
內湖區,房地(土地+建物),臺北市內湖區康寧路一段156巷32弄1~30號,26.87,住,,,1051210,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,74.03,2,2,1,有,無,9500000,128326.0,,0.0,0,,RPRPMLKLJHMFFCA37DA,121.5936851,25.077568
中山區,房地(土地+建物)+車位,臺北市中山區長安東路一段56巷7弄1~30號,14.26,商,,,1060104,土地1建物1車位1,三層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1050825.0,71.54,1,1,1,有,有,16880000,235952.0,塔式車位,11.38,0,建商與地主合建案。,RPQOMLOLJHMFFCA57DA,121.52986909999998,25.0469325
中山區,房地(土地+建物)+車位,臺北市中山區長安東路一段56巷7弄1~30號,14.32,商,,,1060104,土地1建物1車位1,四層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1050825.0,71.8,1,1,1,有,有,17100000,238162.0,塔式車位,11.38,0,建商與地主合建案。,RPUOMLOLJHMFFCA97DA,121.52986909999998,25.0469325
文山區,房地(土地+建物)+車位,臺北市文山區久康街24巷1~30號,13.78,住,,,1051204,土地1建物1車位1,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,960427.0,77.4,2,2,1,有,有,10750000,143924.0,塔式車位,13.13,1500000,含增建或未登記建物。,RPPNMLOKJHMFFAA07DA,121.5655223,24.9891734
士林區,房地(土地+建物),臺北市士林區福林路255巷1~30號,33.62,住,,,1051101,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,740213.0,98.1,3,2,1,有,無,13500000,137615.0,,0.0,0,含增建或未登記建物。權利人共2人,RPTOMLNKJHMFFEA87DA,121.5326322,25.0965579
