鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號,lng,lat
中山區,建物,臺北市中山區南京東路二段91~120號,0,其他,,,1051212,土地0建物1車位0,十一層,18,套房(1房1廳1衛),住家用,見其他登記事項,990917,47.61,1,1,1,有,有,有,28500,599,,0,0,,RPSPMLPJJHMFFCA87CC,121.5321795,25.0522884
內湖區,建物,臺北市內湖區康樂街61~90號,0,其他,,,1051226,土地0建物1車位0,一層,5,店面(店鋪),住商用,鋼筋混凝土造,741230,205.37,0,0,0,無,無,無,65000,317,,0,0,,RPWPMLPJJHMFFCA28CC,121.619734,25.0714201
中山區,建物,臺北市中山區中山北路一段83巷31~60號,0,商,,,1051230,土地0建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970314,80.63,2,1,1,有,有,有,40000,496,,0,0,,RPXPMLPJJHMFFCA38CC,121.5243482,25.0499407
內湖區,建物,臺北市內湖區康樂街61~90號,0,其他,,,1051226,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,741230,126.29,0,0,0,無,無,無,40000,317,,0,0,,RPPQMLPJJHMFFCA67CC,121.619734,25.0714201
中山區,建物,臺北市中山區中山北路一段121巷31~60號,0,商,,,1051206,土地0建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000128,68.64,2,2,2,有,有,有,50000,728,,0,0,,RPSQMLPJJHMFFCA97CC,121.5245641,25.0509211
松山區,建物,臺北市松山區南京東路五段211~240號,0,其他,,,1051231,土地0建物1車位0,十二層,18,套房(1房1廳1衛),住家用,鋼筋混凝土造,980331,55.49,1,1,1,有,有,有,21000,378,,0,0,,RPRNMLPJJHMFFDA67CC,121.5578,25.05189
松山區,建物,臺北市松山區民權東路三段160巷31~60號,0,住,,,1051210,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,680430,130.12,4,2,2,有,有,有,42000,323,,0,0,,RPSOMLPJJHMFFDA87CC,121.5467772,25.0597725
松山區,建物,臺北市松山區八德路三段61~90號,0,商,,,1051213,土地0建物1車位0,地下一層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,760814,494.68,0,0,0,無,有,無,138000,279,,0,0,,RPUOMLPJJHMFFDA08CC,121.5528579,25.0482107
松山區,建物,臺北市松山區復興南路一段31~60號,0,商,,,1060104,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,701203,127.43,3,2,2,有,有,有,43000,337,,0,0,,RPVOMLPJJHMFFDA18CC,121.5441487,25.0464059
松山區,建物,臺北市松山區民生東路三段113巷7弄1~30號,0,住,,,1051213,土地0建物0車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,680306,33.15,5,5,5,有,有,有,20000,603,,0,0,,RPXOMLPJJHMFFDA38CC,121.5463679,25.0586401
大安區,建物,臺北市大安區復興南路一段61~90號,0,商,,,1051230,土地0建物1車位1,十二層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,701230,167.57,3,2,2,有,有,有,56700,338,坡道平面,0,0,,RPRNMLPJJHMFFFA87CC,121.544126,25.045136
大安區,建物,臺北市大安區忠孝東路四段61~90號,0,商,,,1051210,土地0建物1車位0,八層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,,43.64,1,1,1,有,有,無,27000,619,,0,0,,RPVNMLPJJHMFFFA28CC,121.546293,25.041766
士林區,建物,臺北市士林區天母東路61~90號,0,住,,,1060101,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,780524,149.96,3,2,2,有,有,有,56000,373,,0,0,,RPSNMLPJJHMFFEA87CC,121.533898,25.118234
北投區,建物,臺北市北投區裕民二路61~90號,0,商,,,1051231,土地0建物1車位0,三層,19,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021108,175.54,2,2,2,有,有,有,74700,426,,0,0,,RPTOMLPJJHMFFEA08CC,121.5164508,25.1145178
北投區,建物,臺北市北投區裕民六路121~150號,0,商,,,1051226,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040305,190.09,3,1,2,有,有,有,78100,411,,0,0,,RPOPMLPJJHMFFEA67CC,121.5172288,25.1137919
大同區,建物,臺北市大同區延平北路一段61~90號,0,商,,,1051228,土地0建物1車位0,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040522,166.18,3,2,2,有,無,有,43000,259,,0,0,,RPRNMLPJJHMFFBA47CC,121.5120952,25.0511383
大同區,建物,臺北市大同區南京西路64巷9弄1~30號,0,商,,,1051129,土地0建物0車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,35.75,2,1,1,有,無,有,24000,671,,0,0,此建物隔成二間。租金含網路及第四台。,RPTNMLPJJHMFFBA67CC,121.5189702,25.052539
大同區,建物,臺北市大同區華陰街61~90號,0,商,,,1051230,土地0建物1車位0,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020118,85.6,2,1,2,有,有,有,45000,526,,0,0,,RPWNMLPJJHMFFBA97CC,121.5185369,25.0496416
大同區,建物,臺北市大同區民權西路121~150號,0,商,,,1051216,土地0建物1車位0,十一層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,970623,44.53,1,1,1,有,有,有,20000,449,,0,0,,RPOOMLPJJHMFFBA27CC,121.517461,25.0631052
萬華區,建物,臺北市萬華區康定路91~120號,0,商,,,1051211,土地0建物1車位0,二十三層,26,套房(1房1廳1衛),住家用,見其他登記事項,1050331,63.71,1,1,1,有,有,有,24000,377,,0,0,租金含管理費。,RPPOMLPJJHMFFBA37CC,121.5020696,25.0397957
萬華區,建物,臺北市萬華區康定路91~120號,0,商,,,1051213,土地0建物1車位0,八層,26,套房(1房1廳1衛),住家用,見其他登記事項,1050331,63.71,1,1,1,有,有,有,21000,330,,0,0,租金含管理費。,RPROMLPJJHMFFBA57CC,121.5020696,25.0397957
中正區,建物,臺北市中正區臨沂街57巷1~30號,0,住,,,1051224,土地0建物1車位0,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,970627,116.61,2,1,2,有,無,有,45000,386,,0,0,,RPPNMLQJJHMFFBA37CC,121.5293708,25.0377849
