鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺.1,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺.2,租金總額元,備註,編號,lng,lat
松山區,建物,臺北市松山區復興北路91~120號,0.0,商,,,1060106,土地0建物3車位0,九層,15.0,辦公商業大樓,商業用,鋼筋混凝土造,750106.0,1240.57,0,0,0,無,有,無,666000,537.0,,0.0,0,,RPQNMLSKJHMFFDA97CC,121.54411670000002,25.0516758
松山區,建物,臺北市松山區南京東路五段181~210號,0.0,商,,,1060104,土地0建物1車位0,一層,12.0,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,780602.0,99.7,1,1,1,有,無,無,60000,602.0,,0.0,0,,RPXNMLSKJHMFFDA68CC,121.56514609999999,25.0511923
中山區,建物,臺北市中山區林森北路361~390號,0.0,商,,,1060107,土地0建物1車位0,十層,18.0,套房(1房1廳1衛),商業用,鋼筋混凝土造,980916.0,62.29,1,1,1,有,有,有,48000,771.0,,0.0,0,租金含管理費及網路、第四台費用,RPOPMLSKJHMFFCA87CC,121.52550600000001,25.0572808
中正區,建物,臺北市中正區羅斯福路二段31~60號,0.0,其他,,,1060108,土地0建物1車位0,十二層,15.0,套房(1房1廳1衛),商業用,鋼筋混凝土造,911125.0,38.68,1,1,1,有,有,有,17000,440.0,,0.0,0,,RPPNMLTKJHMFFAA67CC,121.52213400000001,25.02786
中山區,建物,臺北市中山區農安街1~30號,0.0,商,,,1060109,土地0建物1車位0,八層,12.0,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,890501.0,151.87,4,2,2,有,有,無,41000,270.0,,0.0,0,,RPROMLKLJHMFFCA37CC,121.5295986,25.064967000000003
大安區,建物,臺北市大安區敦化南路二段265巷1~30號,0.0,其他,,,1060109,土地0建物1車位0,六層,7.0,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,710417.0,144.92,3,2,1,有,有,無,48000,331.0,,0.0,0,,RPWOMLKLJHMFFFA18CC,121.54921809999999,25.0330358
萬華區,建物,臺北市萬華區貴陽街二段31~60號,0.0,商,,,1060109,土地0建物1車位0,二層,7.0,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,651005.0,140.47,4,2,2,有,無,有,35000,249.0,,0.0,0,,RPWNMLKLJHMFFBA67CC,121.5054311,25.0396137
中山區,建物,臺北市中山區民權東路二段31~60號,0.0,,,,1060106,土地0建物1車位0,三層,12.0,辦公商業大樓,商業用,鋼筋混凝土造,740326.0,200.35,0,0,0,無,無,無,60000,299.0,,0.0,0,,RPQPMLNLJHMFFCA67CC,121.529399,25.062792
松山區,建物,臺北市松山區長安東路二段211~240號,0.0,商,,,1060110,土地0建物1車位0,九層,12.0,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,78.9,2,2,1,有,有,無,25000,317.0,,0.0,0,含管理費。,RPQQMLNLJHMFFDA87CC,121.54434679999999,25.0482502
南港區,建物,臺北市南港區八德路四段871~900號,0.0,商,,,1060106,土地0建物1車位0,二層,16.0,辦公商業大樓,商業用,鋼筋混凝土造,841219.0,50.87,0,0,0,無,有,無,8000,157.0,,0.0,0,租期：自民國106年01月15日起至民國107年01月14日止。,RPPQMLOLJHMFFDA87CC,121.580386,25.0511569
南港區,建物,臺北市南港區八德路四段871~900號,0.0,商,,,1060108,土地0建物1車位0,一層,16.0,辦公商業大樓,商業用,鋼筋混凝土造,841219.0,30.03,0,0,0,無,有,無,10000,333.0,,0.0,0,租期：自民國106年02月01日起至民國108年01月31日止。,RPQQMLOLJHMFFDA97CC,121.580386,25.0511569
中山區,建物,臺北市中山區建國北路二段181~210號,0.0,住,,,1060104,土地0建物2車位0,十層,10.0,辦公商業大樓,商業用,鋼筋混凝土造,841024.0,1914.63,0,0,0,無,有,有,1434339,749.0,,0.0,0,,RPRQMLOLJHMFFCA97CC,121.53723559999999,25.0616565
信義區,建物,臺北市信義區基隆路二段121~150號,0.0,商,,,1060105,土地0建物1車位1,三層,12.0,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,801018.0,109.99,0,0,0,無,無,無,30000,273.0,升降機械,16.9,0,,RPOPMLQLJHMFFDA87CC,121.55706940000002,25.0286362
中正區,建物,臺北市中正區博愛路61~90號,0.0,商,,,1051231,土地0建物1車位0,六層,11.0,辦公商業大樓,商業用,鋼筋混凝土造,680115.0,119.0,0,0,0,無,有,無,50000,420.0,,0.0,0,本租案僅承租本戶部分面積約119平方公尺,RPVOMLQJKHMFFBA18CC,121.51163100000001,25.044276
松山區,建物,臺北市松山區臺北市松山區南京東路五段151~180號,0.0,商,,,1060106,土地0建物1車位0,一層,16.0,店面(店鋪),商業用,鋼骨混凝土造,830310.0,79.34,0,0,0,無,有,無,126000,1588.0,,0.0,0,,RPSPMLQJKHMFFDA18CC,121.5484797,25.0513327
北投區,建物,臺北市北投區三合街二段421~450號,0.0,住,,,1060101,土地0建物1車位0,一層,7.0,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,841002.0,137.55,0,0,0,無,無,無,32000,233.0,,0.0,0,,RPOOMLRJKHMFFEA87CC,121.5027979,25.1265556
大安區,建物,臺北市大安區復興南路二段61~90號,0.0,商,,,1060108,土地0建物1車位0,二層,16.0,辦公商業大樓,商業用,鋼筋混凝土造,750801.0,148.5,3,2,2,有,無,有,45000,303.0,,0.0,0,,RPWNMLSJKHMFFFA78CC,121.5437387,25.0309545
