鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺.1,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺.2,租金總額元,備註,編號,lng,lat
大安區,建物,臺北市大安區辛亥路二段31~60號,0.0,住,,,1060101,土地0建物1車位0,十四層,25.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,780221.0,144.27,3,2,2,有,有,有,38000,263.0,,0.0,0,,RPQOMLQLJHMFFFA18CC,121.53596499999999,25.022661300000003
大安區,建物,臺北市大安區仁愛路391~420號,0.0,其他,,,1060112,土地0建物1車位0,七層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,710227.0,115.5,3,2,2,有,有,有,50000,433.0,,0.0,0,,RPTPMLQLJHMFFFA58CC,121.55656270000001,25.037508600000002
中正區,建物,臺北市中正區銅山街1~30號,0.0,住,,,1060124,土地0建物1車位2,十二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960117.0,406.28,4,3,3,有,有,有,168000,414.0,坡道平面,83.5,0,,RPQOMLQLJHMFFBA77CC,121.5261893,25.040291500000002
士林區,建物,臺北市士林區忠誠路一段151~180號,0.0,住,,,1060101,土地0建物1車位0,五層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,730218.0,154.82,4,2,2,有,有,無,36000,233.0,,0.0,0,,RPUOMLQLJHMFFEA48CC,121.53007360000001,25.106616600000002
士林區,建物,臺北市士林區忠誠路二段41巷1~30號,0.0,住,,,1051230,土地0建物1車位1,四層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,870921.0,168.69,4,2,2,有,有,有,77000,456.0,升降平面,0.0,0,,RPOPMLQLJHMFFEA97CC,121.53058159999999,25.108599899999998
士林區,建物,臺北市士林區天母西路31~60號,0.0,商,,,1060101,土地0建物1車位0,五層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,701014.0,173.35,3,1,2,有,有,有,50000,288.0,,0.0,0,,RPVPMLQLJHMFFEA68CC,121.52775659999999,25.1185796
士林區,建物,臺北市士林區克強路10巷1~30號,0.0,住,,,1060101,土地0建物1車位0,四層,6.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,900528.0,237.41,4,2,2,有,有,有,82000,345.0,,0.0,0,,RPWPMLQLJHMFFEA78CC,121.5249183,25.1087158
北投區,建物,臺北市北投區文林北路218巷1~30號,0.0,住,,,1060101,土地0建物1車位1,三層,23.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850216.0,127.9,3,2,2,有,有,有,34000,266.0,坡道平面,0.0,0,,RPXPMLQLJHMFFEA88CC,121.514647,25.108437
士林區,建物,臺北市士林區中山北路六段331~360號,0.0,住,,,1060101,土地0建物1車位0,二層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,680308.0,109.16,3,2,1,有,無,有,25000,229.0,,0.0,0,,RPOQMLQLJHMFFEA08CC,121.52579229999999,25.111463
松山區,建物,臺北市松山區南京東路四段91~120號,0.0,住,,,1060104,土地0建物1車位0,五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,990831.0,160.12,3,2,2,有,有,有,50000,312.0,,0.0,0,,RPOOMLQLJHMFFDA77CC,121.5540977,25.051873899999997
